M-G362 CSV Log File created by Python,Log Duration (sec): 10.000,Press CTRL-C to exit early,,,,,,,
Creation Date:,2017-02-02 16:21:01.747000,,,,,,,,,
Scaled 32-bit Data,SF_GYRO=+0.0050/2^16 dps/lsb,SF_ACCL=+0.125/2^16 mg/lsb,SF_TEMP=+0.0042725/2^16 degC/lsb,,,,,,
Sample No.,Gx[dps],Gy[dps],Gz[dps],Ax[mG],Ay[mG],Az[mG],Ts[deg.C],Counter[dec],Error
000000170,+0.030152,+0.055377,+0.043791,-173.180437,+890.974367,+428.886328,+34.455043,07977,,1486081262.007000
000000171,+0.030127,+0.181739,-0.015910,-172.008732,+891.777174,+430.050003,+34.455043,08024,,1486081262.007000
000000172,+0.066014,+0.212329,-0.020189,-172.003485,+893.632214,+429.951859,+34.450770,08071,,1486081262.007000
000000173,-0.000896,+0.191392,+0.029506,-171.532713,+893.393436,+431.107565,+34.455043,08118,,1486081262.008000
000000174,+0.045347,+0.161353,+0.060321,-173.739134,+893.399878,+431.462715,+34.455043,08164,,1486081262.008000
000000175,+0.071078,+0.105958,+0.085517,-175.019123,+894.101074,+430.893469,+34.455043,08211,,1486081262.008000
000000176,+0.086418,+0.100901,+0.116167,-173.396650,+890.618069,+431.783461,+34.455043,08258,,1486081262.008000
000000177,+0.060747,+0.075483,+0.115560,-171.774181,+888.063093,+432.218199,+34.455043,08305,,1486081262.008000
000000178,+0.029889,+0.075245,+0.115139,-172.001120,+888.988829,+432.691589,+34.455043,08352,,1486081262.008000
000000179,+0.060762,+0.085615,+0.105499,-172.922365,+890.959259,+433.177029,+34.455043,08399,,1486081262.008000
000000180,+0.065880,+0.090676,+0.110702,-172.452574,+893.043018,+432.963099,+34.455043,08446,,1486081262.009000
000000181,+0.024725,+0.105513,+0.105212,-173.618748,+894.093180,+431.816809,+34.455043,08493,,1486081262.009000
000000182,+0.035151,+0.100724,+0.064648,-174.324471,+893.172190,+430.882507,+34.455043,08539,,1486081262.009000
000000183,+0.035068,+0.110724,+0.085077,-174.219303,+890.857904,+430.164486,+34.455043,08586,,1486081262.009000
000000184,+0.060721,+0.090615,+0.115714,-175.277197,+889.012018,+429.106644,+34.455043,08633,,1486081262.009000
000000185,+0.086534,+0.090945,+0.085574,-174.356298,+887.621799,+428.278679,+34.455043,08680,,1486081262.009000
000000186,+0.065852,+0.060303,+0.135803,-173.189087,+888.311115,+428.745354,+34.455043,08727,,1486081262.010000
000000187,+0.055530,+0.080400,+0.135868,-173.996517,+890.398502,+428.767561,+34.455043,08774,,1486081262.010000
000000188,+0.076139,+0.050272,+0.140923,-173.176979,+891.436449,+429.238630,+34.455043,08821,,1486081262.010000
