M-G362 CSV Log File created by Python,Log Duration (sec): 300.000,Press CTRL-C to exit early,,,,,,,
Creation Date:,2017-02-20 15:23:58.914000,,,,,,,,,
Scaled 32-bit Data,SF_GYRO=+0.0050/2^16 dps/lsb,SF_ACCL=+0.125/2^16 mg/lsb,SF_TEMP=+0.0042725/2^16 degC/lsb,,,,,,
Sample No.,Gx[dps],Gy[dps],Gz[dps],Ax[mG],Ay[mG],Az[mG],Ts[deg.C],Counter[dec],Error
000000169,+0.125398,+0.066706,+0.096446,+1000.533649,+68.591942,-11.050489,+30.584157,63384,,1487633040.294000
000000170,+0.084124,+0.111670,+0.116660,+1001.093536,+63.383282,-12.029102,+30.584157,63759,,1487633040.294000
000000171,+0.038064,+0.126883,+0.019681,+999.733006,+70.792887,-9.982996,+30.579885,64134,,1487633040.294000
000000172,-0.003305,+0.085823,+0.115215,+1002.523102,+67.071602,-7.940010,+30.579885,64509,,1487633040.314000
000000173,+0.079199,+0.021099,+0.075042,+998.228281,+69.287186,-8.253090,+30.579885,64884,,1487633040.314000
000000174,+0.007272,+0.101325,+0.039314,+1002.041096,+66.385136,-10.496433,+30.584157,65259,,1487633040.314000
000000175,+0.012526,+0.056040,+0.028765,+1000.302275,+67.316517,-10.250128,+30.584157,00098,,1487633040.334000
000000176,+0.048182,+0.126743,+0.070614,+1001.360804,+69.511089,-9.188690,+30.579885,00473,,1487633040.334000
000000177,+0.130320,+0.142505,+0.076979,+1000.432199,+68.935825,-8.726763,+30.575612,00848,,1487633040.364000
000000178,+0.099734,+0.061511,+0.085884,+1001.116350,+67.313341,-10.136831,+30.584157,01223,,1487633040.364000
000000179,+0.099859,+0.046520,+0.055255,+999.029633,+68.941328,-10.114725,+30.584157,01598,,1487633040.364000
000000180,+0.130677,+0.016401,+0.080767,+1001.109808,+68.360741,-11.750242,+30.584157,01973,,1487633040.364000
000000181,+0.161337,+0.107470,+0.066878,+1002.169346,+68.351351,-9.434153,+30.579885,02348,,1487633040.384000
000000182,+0.141117,+0.057115,+0.010207,+1001.584610,+68.701412,-10.241184,+30.584157,02723,,1487633040.394000
000000183,+0.099790,+0.046688,+0.029872,+1000.198437,+69.865137,-9.412941,+30.575612,03098,,1487633040.394000
000000184,+0.151200,+0.021557,+0.091258,+1002.051481,+69.394453,-10.236145,+30.584157,03473,,1487633040.424000
000000185,+0.089505,+0.046214,+0.100821,+1001.583271,+68.468283,-10.359892,+30.588430,03848,,1487633040.424000
000000186,+0.079205,+0.106875,+0.050508,+1000.649839,+67.895741,-10.709585,+30.584157,04223,,1487633040.424000
000000187,+0.145907,+0.107213,+0.092057,+1003.901653,+66.841858,-10.498121,+30.584157,04598,,1487633040.424000
000000188,+0.125410,+0.097039,+0.076435,+1002.288023,+70.087130,-9.882509,+30.584157,04973,,1487633040.444000
000000189,+0.094675,+0.076609,+0.075802,+1002.755247,+67.414959,-8.170536,+30.588430,05348,,1487633040.444000
000000190,+0.079234,+0.015963,+0.090222,+1001.690104,+67.895267,-11.640556,+30.584157,05723,,1487633040.444000
000000191,+0.156375,+0.011536,+0.086147,+998.434835,+68.255293,-12.090467,+30.584157,06098,,1487633040.474000
000000192,+0.125563,+0.056821,+0.050630,+1003.911331,+68.459955,-9.671209,+30.584157,06473,,1487633040.474000
000000193,+0.069068,+0.061515,+0.029590,+1002.051434,+65.219635,-8.188442,+30.584157,06848,,1487633040.474000
000000194,+0.115300,-0.019025,+0.085277,+1002.052162,+68.698263,-9.778915,+30.584157,07223,,1487633040.474000
000000195,+0.089436,+0.061410,+0.090823,+1000.539507,+68.008802,-9.780548,+30.584157,07598,,1487633040.504000
000000196,+0.146095,+0.056935,+0.061070,+1000.425726,+68.123808,-9.431238,+30.584157,07973,,1487633040.504000
000000197,+0.105072,+0.046786,+0.009619,+1002.175898,+67.999756,-8.162027,+30.579885,08348,,1487633040.504000
000000198,+0.130704,+0.056860,+0.050700,+1002.754515,+67.649252,-8.399666,+30.584157,08723,,1487633040.534000
000000199,+0.140916,+0.067211,+0.020481,+998.564039,+67.091778,-9.317911,+30.575612,09098,,1487633040.534000
000000200,+0.058659,+0.026025,+0.064653,+1000.544649,+68.819628,-9.308540,+30.579885,09473,,1487633040.534000
000000201,+0.084384,+0.066543,+0.060328,+1000.210623,+72.057772,-8.465778,+30.584157,09848,,1487633040.534000
000000202,+0.109605,+0.121803,+0.157755,+1001.468344,+66.616369,-9.216375,+30.579885,10223,,1487633040.554000
000000203,+0.094872,+0.061844,-0.000533,+999.490967,+68.245876,-10.354687,+30.584157,10598,,1487633040.554000
000000204,+0.094395,+0.106942,+0.076129,+1000.307375,+68.593182,-10.005066,+30.575612,10973,,1487633040.554000
000000205,+0.068892,+0.081620,+0.050118,+1001.818657,+66.034367,-8.643246,+30.579885,11348,,1487633040.584000
000000206,+0.115150,+0.112148,+0.061210,+1003.799616,+68.341862,-8.860302,+30.584157,11723,,1487633040.584000
000000207,+0.058599,+0.056132,+0.090349,+1001.471823,+65.220850,-7.954659,+30.584157,12098,,1487633040.584000
000000208,+0.099888,+0.061847,+0.014781,+1003.317846,+65.919636,-10.504389,+30.579885,12473,,1487633040.584000
000000209,+0.084224,+0.101698,+0.091161,+1002.284542,+67.305861,-9.097105,+30.584157,12848,,1487633040.614000
000000210,+0.078979,+0.056305,+0.100802,+1002.753044,+67.653973,-8.630404,+30.575612,13223,,1487633040.614000
000000211,+0.161551,+0.112679,+0.021210,+1002.636936,+67.650429,-8.631180,+30.584157,13598,,1487633040.614000
