start,read,process,send
1488491465290.000000,1.000000,0.000000,0.000000
1488491465291.000000,0.000000,0.000000,0.000000
1488491465292.000000,0.000000,0.000000,0.000000
1488491465314.000000,0.000000,1.000000,0.000000
1488491465315.000000,0.000000,0.000000,0.000000
1488491465315.000000,0.000000,0.000000,0.000000
1488491465338.000000,0.000000,1.000000,0.000000
1488491465339.000000,0.000000,0.000000,0.000000
1488491465339.000000,0.000000,0.000000,0.000000
1488491465362.000000,0.000000,0.000000,0.000000
1488491465363.000000,0.000000,0.000000,0.000000
1488491465363.000000,0.000000,0.000000,0.000000
1488491465386.000000,0.000000,1.000000,0.000000
1488491465387.000000,0.000000,0.000000,0.000000
1488491465387.000000,0.000000,0.000000,0.000000
1488491465410.000000,1.000000,0.000000,0.000000
1488491465412.000000,0.000000,0.000000,0.000000
1488491465412.000000,0.000000,0.000000,0.000000
1488491465434.000000,0.000000,0.000000,0.000000
1488491465434.000000,1.000000,0.000000,0.000000
1488491465435.000000,0.000000,0.000000,0.000000
1488491465458.000000,0.000000,0.000000,0.000000
1488491465458.000000,0.000000,1.000000,0.000000
1488491465459.000000,0.000000,0.000000,0.000000
1488491465482.000000,0.000000,0.000000,0.000000
1488491465482.000000,0.000000,0.000000,0.000000
1488491465483.000000,0.000000,0.000000,0.000000
1488491465506.000000,0.000000,0.000000,1.000000
1488491465507.000000,0.000000,0.000000,0.000000
1488491465508.000000,0.000000,0.000000,0.000000
1488491465530.000000,0.000000,0.000000,0.000000
1488491465530.000000,0.000000,0.000000,0.000000
1488491465530.000000,1.000000,0.000000,0.000000
1488491465555.000000,0.000000,0.000000,0.000000
1488491465556.000000,0.000000,0.000000,0.000000
1488491465557.000000,0.000000,0.000000,0.000000
1488491465594.000000,0.000000,0.000000,0.000000
1488491465595.000000,0.000000,0.000000,0.000000
1488491465595.000000,0.000000,0.000000,0.000000
1488491465595.000000,0.000000,0.000000,0.000000
1488491465595.000000,0.000000,0.000000,0.000000
1488491465650.000000,0.000000,0.000000,0.000000
1488491465650.000000,0.000000,1.000000,0.000000
1488491465651.000000,0.000000,0.000000,0.000000
1488491465651.000000,0.000000,0.000000,0.000000
1488491465651.000000,0.000000,0.000000,0.000000
1488491465652.000000,0.000000,0.000000,0.000000
1488491465652.000000,0.000000,0.000000,0.000000
1488491465675.000000,0.000000,1.000000,0.000000
1488491465676.000000,0.000000,0.000000,0.000000
1488491465676.000000,0.000000,0.000000,0.000000
1488491465706.000000,0.000000,0.000000,0.000000
1488491465707.000000,0.000000,0.000000,0.000000
1488491465707.000000,0.000000,0.000000,0.000000
1488491465707.000000,0.000000,0.000000,0.000000
1488491465731.000000,0.000000,0.000000,0.000000
1488491465731.000000,0.000000,0.000000,0.000000
1488491465731.000000,0.000000,1.000000,0.000000
1488491465762.000000,0.000000,0.000000,0.000000
1488491465762.000000,0.000000,0.000000,0.000000
1488491465762.000000,0.000000,0.000000,0.000000
1488491465763.000000,0.000000,0.000000,0.000000
1488491465787.000000,2.000000,0.000000,1.000000
1488491465793.000000,0.000000,1.000000,0.000000
1488491465795.000000,0.000000,0.000000,0.000000
1488491465834.000000,0.000000,0.000000,0.000000
1488491465835.000000,0.000000,0.000000,0.000000
1488491465835.000000,0.000000,0.000000,0.000000
1488491465835.000000,0.000000,0.000000,0.000000
1488491465835.000000,0.000000,0.000000,0.000000
1488491465836.000000,0.000000,0.000000,0.000000
1488491465859.000000,0.000000,1.000000,0.000000
1488491465860.000000,0.000000,0.000000,0.000000
1488491465861.000000,0.000000,0.000000,0.000000
1488491465890.000000,0.000000,0.000000,0.000000
1488491465890.000000,0.000000,0.000000,0.000000
1488491465890.000000,0.000000,0.000000,0.000000
1488491465890.000000,0.000000,0.000000,0.000000
1488491465915.000000,0.000000,0.000000,0.000000
1488491465915.000000,0.000000,0.000000,0.000000
1488491465916.000000,0.000000,0.000000,0.000000
1488491465950.000000,1.000000,0.000000,0.000000
1488491465951.000000,0.000000,0.000000,0.000000
