frame	osa     sroa	vicon	draw	total
0.018	0.014	0.000	0.011	0.000	0.043
0.020	0.012	0.001	0.016	0.000	0.049
0.022	0.009	0.000	0.011	0.000	0.043
0.010	0.010	0.047	0.010	0.000	0.077
0.028	0.025	0.000	0.008	0.000	0.062
0.005	0.012	0.000	0.009	0.000	0.027
0.008	0.020	0.000	0.010	0.020	0.060
0.099	0.039	0.000	0.009	0.000	0.148
0.008	0.009	0.001	0.011	0.000	0.028
0.007	0.016	0.000	0.011	0.000	0.035
0.007	0.014	0.001	0.015	0.000	0.037
0.019	0.004	0.001	0.012	0.000	0.036
0.009	0.010	0.001	0.011	0.000	0.031
0.009	0.017	0.000	0.009	0.000	0.036
0.006	0.015	0.000	0.007	0.000	0.029
0.006	0.015	0.000	0.010	0.000	0.031
0.022	0.012	0.000	0.008	0.016	0.059
0.005	0.013	0.001	0.013	0.000	0.032
0.027	0.003	0.001	0.011	0.000	0.042
0.020	0.014	0.001	0.010	0.000	0.045
0.008	0.013	0.000	0.010	0.000	0.032
0.007	0.060	0.000	0.010	0.000	0.079
0.007	0.016	0.000	0.014	0.000	0.037
0.028	0.015	0.043	0.009	0.000	0.096
0.028	0.025	0.000	0.008	0.000	0.062
0.005	0.011	0.000	0.006	0.000	0.022
0.006	0.010	0.000	0.008	0.016	0.039
0.005	0.020	0.041	0.009	0.000	0.076
0.028	0.027	0.000	0.010	0.000	0.066
0.016	0.004	0.001	0.014	0.000	0.034
0.009	0.008	0.001	0.011	0.000	0.030
0.021	0.007	0.001	0.011	0.000	0.040
0.023	0.014	0.001	0.010	0.000	0.048
0.026	0.006	0.001	0.012	0.000	0.045
0.029	0.013	0.000	0.012	0.000	0.054
0.010	0.011	0.039	0.011	0.000	0.071
0.027	0.028	0.001	0.011	0.019	0.085
0.018	0.003	0.001	0.014	0.000	0.036
0.008	0.009	0.000	0.013	0.000	0.031
0.024	0.022	0.001	0.011	0.000	0.059
0.018	0.003	0.000	0.010	0.000	0.031
0.007	0.011	0.001	0.010	0.000	0.029
0.018	0.010	0.000	0.011	0.000	0.040
0.009	0.027	0.040	0.011	0.000	0.088
0.033	0.027	0.000	0.008	0.000	0.068
0.006	0.009	0.000	0.010	0.000	0.025
0.006	0.012	0.001	0.007	0.014	0.038
0.012	0.002	0.043	0.008	0.000	0.066
0.020	0.028	0.000	0.007	0.000	0.056
0.007	0.011	0.001	0.012	0.000	0.031
0.027	0.003	0.000	0.010	0.000	0.040
0.006	0.011	0.049	0.010	0.000	0.077
0.039	0.027	0.001	0.018	0.000	0.084
0.021	0.004	0.001	0.014	0.000	0.040
0.009	0.015	0.001	0.009	0.000	0.034
0.008	0.010	0.000	0.010	0.000	0.028
0.019	0.006	0.000	0.011	0.065	0.101
0.004	0.003	0.000	0.013	0.000	0.021
0.011	0.007	0.000	0.013	0.000	0.031
0.056	0.017	0.000	0.011	0.000	0.085
0.007	0.010	0.000	0.012	0.000	0.029
0.007	0.011	0.000	0.012	0.000	0.030
