frame	osa     sroa	vicon	draw	total
0.009	0.008	0.000	0.010	0.000	0.027
0.008	0.009	0.001	0.010	0.000	0.028
0.008	0.020	0.001	0.014	0.000	0.043
0.011	0.013	0.046	0.009	0.000	0.079
0.030	0.028	0.001	0.010	0.017	0.086
0.003	0.004	0.001	0.011	0.000	0.018
0.008	0.013	0.000	0.014	0.000	0.036
0.013	0.023	0.000	0.013	0.000	0.050
0.008	0.011	0.000	0.014	0.000	0.033
0.055	0.020	0.000	0.011	0.000	0.086
0.007	0.087	0.001	0.015	0.000	0.110
0.016	0.011	0.001	0.013	0.000	0.041
0.021	0.003	0.000	0.009	0.000	0.034
0.007	0.009	0.000	0.007	0.000	0.024
0.007	0.009	0.000	0.009	0.013	0.039
0.008	0.007	0.000	0.009	0.000	0.024
0.038	0.017	0.000	0.013	0.000	0.068
0.021	0.003	0.000	0.014	0.000	0.039
0.021	0.007	0.001	0.012	0.000	0.040
0.024	0.003	0.001	0.011	0.000	0.039
0.025	0.015	0.000	0.010	0.000	0.051
0.057	0.022	0.001	0.013	0.000	0.092
0.075	0.021	0.000	0.011	0.000	0.107
0.006	0.009	0.001	0.011	0.000	0.026
0.008	0.017	0.000	0.010	0.017	0.053
0.021	0.008	0.000	0.013	0.000	0.042
0.010	0.009	0.001	0.014	0.000	0.034
0.008	0.018	0.000	0.010	0.000	0.037
0.006	0.015	0.001	0.012	0.000	0.034
0.017	0.012	0.000	0.010	0.000	0.038
0.006	0.016	0.000	0.009	0.000	0.032
0.022	0.013	0.000	0.011	0.000	0.047
0.020	0.022	0.001	0.011	0.000	0.054
0.009	0.012	0.000	0.011	0.000	0.032
0.031	0.004	0.000	0.007	0.014	0.056
0.004	0.018	0.036	0.006	0.000	0.065
0.027	0.033	0.000	0.011	0.000	0.072
0.009	0.012	0.001	0.014	0.000	0.035
0.020	0.004	0.000	0.014	0.000	0.039
0.019	0.003	0.002	0.010	0.000	0.034
0.008	0.012	0.000	0.012	0.000	0.032
0.026	0.012	0.001	0.012	0.000	0.050
0.007	0.011	0.000	0.012	0.000	0.031
0.022	0.005	0.000	0.016	0.000	0.044
0.017	0.009	0.000	0.010	0.020	0.057
0.004	0.010	0.000	0.012	0.000	0.027
0.017	0.023	0.000	0.011	0.000	0.051
0.020	0.003	0.000	0.011	0.000	0.035
0.007	0.008	0.001	0.012	0.000	0.028
0.019	0.056	0.000	0.012	0.000	0.087
0.010	0.009	0.000	0.014	0.000	0.034
0.021	0.003	0.000	0.009	0.000	0.033
0.007	0.016	0.000	0.010	0.000	0.034
0.028	0.003	0.039	0.014	0.000	0.085
0.039	0.031	0.001	0.010	0.015	0.097
0.011	0.003	0.000	0.009	0.000	0.024
0.006	0.010	0.051	0.011	0.000	0.078
0.032	0.041	0.000	0.012	0.000	0.085
0.031	0.004	0.000	0.010	0.000	0.046
0.020	0.003	0.000	0.014	0.000	0.038
0.025	0.006	0.001	0.010	0.000	0.041
0.009	0.009	0.000	0.013	0.000	0.032
0.020	0.008	0.001	0.009	0.000	0.039
0.009	0.011	0.000	0.012	0.000	0.032
0.021	0.006	0.066	0.011	0.057	0.161
0.015	0.003	0.000	0.010	0.000	0.029
0.039	0.006	0.001	0.009	0.000	0.055
0.019	0.016	0.000	0.013	0.000	0.048
0.009	0.009	0.001	0.014	0.000	0.033
0.022	0.005	0.000	0.014	0.000	0.041
0.021	0.005	0.000	0.013	0.000	0.040
0.009	0.010	0.000	0.011	0.000	0.031
0.023	0.004	0.000	0.010	0.000	0.037
0.018	0.003	0.000	0.013	0.000	0.035
0.007	0.013	0.000	0.009	0.034	0.065
0.006	0.004	0.001	0.014	0.000	0.025
0.008	0.011	0.043	0.009	0.000	0.071
0.025	0.028	0.000	0.009	0.000	0.062
0.006	0.011	0.000	0.011	0.000	0.028
0.006	0.011	0.000	0.011	0.000	0.029
